imdbid,movielink,title,year,rating,dubious,date
27564844,/view/12036/iron_lung/,Iron Lung,2026,3,True,2026-02-03 23:42:51
24458622,/view/12035/the_six_triple_eight/,The Six Triple Eight,2024,3,False,2026-02-03 19:04:18
0074157,/view/12034/at_the_earth's_core/,At The Earth's Core,1976,0,False,2026-02-02 21:24:26
13429870,/view/12033/robot_dreams/,Robot Dreams,2023,0,False,2026-02-01 19:33:28
32298285,/view/12031/sirât/,Sirât,2025,1,False,2026-01-30 13:05:28
29713093,/view/12030/we_bury_the_dead/,We Bury the Dead,2024,0,False,2026-01-29 22:57:50
1527793,/view/12029/no_other_choice/,No Other Choice,2025,3,True,2026-01-29 17:12:44
15181326,/view/12028/dead_man's_wire/,Dead Man's Wire,2025,1,False,2026-01-29 16:51:47
10329560,/view/12027/h_is_for_hawk/,H Is for Hawk,2025,3,False,2026-01-29 16:49:05
29268110,/view/12025/smile_2/,Smile 2,2024,3,False,2026-01-26 01:26:25
19770238,/view/12023/aftersun/,Aftersun,2022,3,False,2026-01-20 22:46:42
16253418,/view/12022/no_way_up/,No Way Up,2024,3,False,2026-01-20 15:20:36
23172090,/view/12021/dust_bunny/,Dust Bunny,2025,3,False,
14905854,/view/12020/hamnet/,Hamnet,2025,3,False,2026-01-20 00:42:55
22528200,/view/12019/f***_marry_kill/,F*** Marry Kill,2024,3,False,2026-01-19 01:43:09
12908150,/view/12018/the_life_of_chuck/,The Life of Chuck,2024,3,False,2026-01-18 06:23:06
36243564,/view/12017/l’étranger/,L’étranger,2025,2,False,2026-01-17 04:25:31
0087806,/view/12016/the_ninja_mission/,The Ninja Mission,1984,3,False,2026-01-14 12:31:17
22740896,/view/12014/people_we_meet_on_vacation/,People We Meet on Vacation,2026,3,False,2026-01-10 17:20:28
26342662,/view/12011/m3gan_2.0/,M3GAN 2.0,2025,3,False,2026-01-08 02:46:11
22257924,/view/12009/myrskyluodon_maija_-_stormskärs_maja/,Myrskyluodon Maija / Stormskärs Maja,2024,3,False,2026-01-06 19:20:27
35766629,"/view/12008/goodbye,_june/","Goodbye, June",2025,1,False,2026-01-06 03:04:24
24950660,/view/12006/eternity/,Eternity,2025,3,True,2026-01-04 23:40:36
32792934,/view/12005/the_plague/,The Plague,2025,0,False,2026-01-04 21:16:16
0790604,/view/12003/deck_the_halls/,Deck The Halls,2006,2,True,2026-01-04 14:57:22
10092698,/view/12002/all_fun_and_games/,All Fun and Games,2023,3,False,2026-01-03 04:50:22
31281659,/view/12001/merv/,Merv,2025,3,False,2026-01-01 20:19:10
8002382,/view/11999/the_marsh_king's_daughter/,The Marsh King's Daughter,2023,3,False,2025-12-28 13:17:42
0284043,/view/11998/dingjunshan/,Dingjunshan,1905,0,False,2025-12-28 11:46:16
32916440,/view/11995/marty_supreme/,Marty Supreme,2025,2,False,2025-12-27 03:10:26
15678738,/view/11994/david/,DAVID,2025,2,True,2025-12-27 01:47:30
0072424,/view/11993/the_year_without_a_santa_claus/,The Year Without a Santa Claus,1974,2,False,2025-12-26 05:46:28
36639986,/view/11992/soy_frankelda/,Soy Frankelda,2025,3,False,2025-12-25 22:18:20
,/view/11991/that_christmas/,That Christmas,2024,3,False,2025-12-25 07:46:02
0840350,/view/11990/my_little_pony:_a_very_minty_christmas/,My little pony: A very minty Christmas,2005,3,False,2025-12-24 22:11:46
14107334,/view/11984/the_running_man/,The Running Man,2025,1,False,2025-12-22 05:04:29
35396529,/view/11983/mountainhead/,Mountainhead,2025,1,False,2025-12-22 04:58:27
12001534,/view/11982/the_thursday_murder_club/,The Thursday Murder Club,2025,3,False,2025-12-22 04:56:18
30400277,/view/11981/kiss_of_the_spider_woman/,Kiss of the Spider Woman,2025,3,False,2025-12-22 04:53:48
32843349,/view/11980/sorry_baby/,Sorry Baby,2025,3,False,2025-12-22 04:50:37
31998881,/view/11979/oh._what._fun./,Oh. What. Fun.,2025,3,False,2025-12-22 04:48:41
14364480,/view/11978/wake_up_dead_man/,Wake Up Dead Man,2025,3,False,2025-12-18 12:25:54
7068946,/view/11977/the_accountant_2/,The accountant 2,2025,2,True,2025-12-15 21:51:25
32214143,/view/11976/gabby's_dollhouse:_the_movie/,Gabby's Dollhouse: The Movie,2025,3,False,2025-12-13 21:24:17
26443597,/view/11975/zootopia_2/,Zootopia 2,2025,3,False,2025-12-08 23:23:37
31425731,/view/11973/playdate/,Playdate,2025,1,False,2025-12-06 00:08:18
30274401,/view/11972/five_nights_at_freddy’s_2/,Five Nights at Freddy’s 2,2025,3,False,2025-12-05 03:13:20
20225374,/view/11971/vesper/,Vesper,2022,3,False,2025-12-04 10:52:57
27604215,/view/11970/in_your_dreams/,In Your Dreams,2025,2,True,2025-12-02 21:13:38
29567915,/view/11968/nuremberg/,Nuremberg,2025,1,False,2025-11-30 22:24:52
12300742,/view/11967/bugonia/,Bugonia,2025,3,True,2025-11-30 18:15:06
19847976,/view/11963/wicked:_for_good/,Wicked: For Good,2025,3,False,2025-11-28 14:24:15
29768334,/view/11960/train_dreams/,Train Dreams,2025,1,False,2025-11-27 01:55:01
0097889,/view/11957/miracle_mile/,Miracle Mile,1988,3,False,2025-11-25 11:42:45
4712810,/view/11955/now_you_see_me:_now_you_don't/,Now You See Me: Now You Don't,2025,3,False,2025-11-19 14:39:44
31227572,/view/11953/predator:_badlands/,Predator: Badlands,2025,3,False,2025-11-18 22:07:50
32135632,/view/11952/lifehack/,Lifehack,2025,1,False,2025-11-18 09:55:57
37284198,/view/11951/the_legend_of_hei_2/,The Legend of Hei 2,2025,2,True,2025-11-17 17:24:41
33088452,/view/11950/regretting_you/,Regretting You,2025,1,True,2025-11-17 04:19:11
0098282,"/view/11949/see_no_evil,_hear_no_evil/","See No Evil, Hear No Evil",1989,3,True,2025-11-17 03:32:16
0088889,/view/11948/cat's_eye/,Cat's Eye,1985,3,True,2025-11-17 01:23:50
0075675,/view/11947/the_american_friend/,The American Friend,1977,1,False,2025-11-16 09:30:21
